DataTime,String,Float32,UInt32
2018-06-05 23:14:09,com.google.Zoolab,10.02818,277
2018-06-22 08:22:33,com.deliciousdays.Transcof,65.4358,76
2018-12-24 08:49:58,gov.loc.Biodex,67.93669,481
2018-12-05 05:05:49,com.amazon.Andalax,79.01138,994
2018-12-19 14:36:57,org.creativecommons.Ventosanzap,35.48796,22
2018-12-26 15:52:44,com.dedecms.Otcom,17.94181,960
2018-04-26 21:18:37,com.com.Biodex,23.42578,653
2018-12-25 05:24:54,org.simplemachines.Job,5.81766,10
2018-11-29 02:03:08,br.com.google.Stringtough,78.14729,880
2019-03-12 03:53:25,com.fastcompany.Prodder,5.50937,245
