DataTime,String,Float32,UInt32
2018-11-10 22:06:41,com.fastcompany.It,87.3484,57
2018-04-06 04:10:26,com.etsy.Span,49.28055,716
2018-03-30 16:29:26,ly.ow.Vagram,46.49785,703
2019-01-31 21:26:21,jp.ne.hatena.Zaam-Dox,48.96409,472
2019-01-16 16:02:29,edu.cmu.Tresom,26.74275,201
2018-12-02 05:16:21,com.jiathis.Flowdesk,66.82617,877
2018-03-21 05:49:39,com.dagondesign.Zontrax,55.97955,292
2018-04-19 07:16:40,com.1688.Zamit,60.45618,448
2018-07-19 21:19:34,org.simplemachines.Lotlux,40.49943,621
2018-04-03 01:27:08,com.yahoo.Stringtough,39.80001,213
